Year,incidents,delays,Delay Rate,On Time Performance
2025,257894,1623799,3.131433225741916,82.09100152516523
2024,288180,1823887,3.547943595173074,79.28482688391038
2023,274499,1689088,3.3557236583754877,80.37953592967392
2022,278749,1872094,3.6704910007687253,77.28472847284729
2021,268624,1474117,2.938438773118585,82.08256974139687
2020,199526,1007685,2.255770432621438,86.37624072719674
